canonical_game_id,season_label,game_date,date_precision,team_a_key,team_b_key,team_a_score,team_b_score,result_winner_team_key,overtime_periods,site_type,designated_home_team_key,venue_key,site_city,site_state,game_type,postseason_round,administrative_status,administrative_note,canonical_status,notes
CBBG-0000085,1911-1912,1912-01-20,EXACT,missouri,washington-university-of-st-louis,14,31,washington-university-of-st-louis,0,TEAM_B_HOME,washington-university-of-st-louis,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000086,1911-1912,1912-02-08,EXACT,central-missouri,missouri,30,26,central-missouri,0,TEAM_A_HOME,central-missouri,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000087,1911-1912,1912-02-09,EXACT,kansas,missouri,27,16,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000088,1911-1912,1912-02-10,EXACT,kansas,missouri,31,21,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000089,1911-1912,1912-02-12,EXACT,missouri,washington-university-of-st-louis,16,8,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000090,1911-1912,1912-02-13,EXACT,missouri,washington-university-of-st-louis,16,19,washington-university-of-st-louis,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000091,1911-1912,1912-02-15,EXACT,drake,missouri,12,15,missouri,0,TEAM_A_HOME,drake,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000092,1911-1912,1912-02-16,EXACT,iowa-state,missouri,27,9,iowa-state,0,TEAM_A_HOME,iowa-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000093,1911-1912,1912-02-17,EXACT,iowa-state,missouri,32,13,iowa-state,0,TEAM_A_HOME,iowa-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000094,1911-1912,1912-02-21,EXACT,kansas,missouri,39,24,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
