index,index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
50,50,MDRAW-00051,maryland,2025-26_record_book_all_time_results,1923-1924,1924,,George Washington,George Washington,george-washington,Yes,19,20,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,George Washington L 19-20,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
51,51,MDRAW-00052,maryland,2025-26_record_book_all_time_results,1923-1924,1924,,Washington & Lee,Washington & Lee,washington-and-lee,No,22,21,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,• Washington & Lee W 22-21,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
52,52,MDRAW-00053,maryland,2025-26_record_book_all_time_results,1923-1924,1924,,VMI,VMI,vmi,Yes,12,21,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,VMI L 12-21,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
53,53,MDRAW-00054,maryland,2025-26_record_book_all_time_results,1923-1924,1924,,VMI,VMI,vmi,Yes,34,19,W,0,,,unprefixed,NEUTRAL,Municipal Auditorium,Municipal Auditorium,Atlanta,GA,Southern Conference Tournament,,CONFERENCE_TOURNAMENT,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,VMI 1 W 34-19,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
54,54,MDRAW-00055,maryland,2025-26_record_book_all_time_results,1923-1924,1924,1924-02-29,Georgia,Georgia,georgia,Yes,25,29,L,0,,,unprefixed,NEUTRAL,Municipal Auditorium,Municipal Auditorium,Atlanta,GA,Southern Conference Tournament,,CONFERENCE_TOURNAMENT,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F29 Georgia 1 L 25-29,resolved,,,,,
55,55,MDRAW-00056,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,Virginia,Virginia,virginia,Yes,24,18,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,• Virginia W 24-18,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
56,56,MDRAW-00057,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,Columbia,Columbia,columbia,Yes,24,23,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,at Columbia W 24-23,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
57,57,MDRAW-00058,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,Stevens Institute,Stevens Institute,stevens-institute,No,21,19,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,at Stevens Institute W 21-19,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
58,58,MDRAW-00059,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,Navy,Navy,navy,Yes,16,23,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,at Navy L 16-23,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
59,59,MDRAW-00060,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,Lafayette,Lafayette,lafayette,Yes,30,15,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,Lafayette W 30-15,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
60,60,MDRAW-00061,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,Catholic,Catholic,catholic,No,18,14,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,at Catholic W 18-14,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
61,61,MDRAW-00062,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,Stevens Institute,Stevens Institute,stevens-institute,No,21,17,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,Stevens Institute W 21-17,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
62,62,MDRAW-00063,maryland,2025-26_record_book_all_time_results,1924-1925,1925,1925-01-31,No. Carolina,North Carolina,north-carolina,Yes,16,21,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J31 • No. Carolina L 16-21,resolved,,,,,
63,63,MDRAW-00064,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,Gallaudet,Gallaudet,gallaudet,No,25,14,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,Gallaudet W 25-14,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
64,64,MDRAW-00065,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,Washington College,Washington College,washington-college,No,16,27,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,Washington College L 16-27,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
65,65,MDRAW-00066,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,Princeton,Princeton,princeton,Yes,24,38,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,at Princeton L 24-38,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
66,66,MDRAW-00067,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,City College of NY,City College of NY,city-college-of-ny,No,22,16,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,City College of NY W 22-16,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
67,67,MDRAW-00068,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,South Carolina,South Carolina,south-carolina,Yes,38,22,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,• South Carolina W 38-22,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
68,68,MDRAW-00069,maryland,2025-26_record_book_all_time_results,1924-1925,1925,,Virginia,Virginia,virginia,Yes,36,25,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,• at Virginia W 36-25,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
