source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
kansas,Coppin State,coppin-state,Coppin State,Yes,2,1994-1995,2008-2009,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Cornell,cornell,Cornell,Yes,3,1955-1956,2009-2010,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Cotner,cotner,Cotner,No,1,1910-1911,1910-1911,resolved,New historical/non-current identity using source label,,
kansas,Creighton,creighton,Creighton,Yes,18,1922-1923,2024-2025,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Dartmouth,dartmouth,Dartmouth,Yes,1,2006-2007,2006-2007,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Davidson,davidson,Davidson,Yes,4,2007-2008,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Dayton,dayton,Dayton,Yes,4,1967-1968,2021-2022,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,DePaul,depaul,DePaul,Yes,9,1941-1942,2007-2008,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Denver,denver,Denver,Yes,4,1941-1942,1962-1963,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Des Moines YMCA,des-moines-ymca,Des Moines YMCA,No,5,1901-1902,1907-1908,resolved,New historical/non-current identity using source label,,
kansas,Detroit,detroit-mercy,Detroit Mercy,Yes,4,1984-1985,2011-2012,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Doane,doane,Doane,No,1,1937-1938,1937-1938,resolved,New historical/non-current identity using source label,,
kansas,Drake,drake,Drake,Yes,25,1909-1910,1970-1971,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Duke,duke,Duke,Yes,16,1985-1986,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Duquesne,duquesne,Duquesne,Yes,1,1949-1950,1949-1950,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,East Tennessee St,east-tennessee-state,East Tennessee State,Yes,2,1992-1993,2019-2020,resolved,Current D1 naming normalization,,
kansas,East Tennessee State,east-tennessee-state,East Tennessee State,Yes,2,1994-1995,1995-1996,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Eastern Illinois,eastern-illinois,Eastern Illinois,Yes,1,2023-2024,2023-2024,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Eastern Kentucky,eastern-kentucky,Eastern Kentucky,Yes,2,1970-1971,2013-2014,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Eastern Michigan,eastern-michigan,Eastern Michigan,Yes,1,2018-2019,2018-2019,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
