source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes
MIZ-HIST-00049,missouri,historical_media_guide,1908-1909,1909,1909-02-17,Washington (Mo.),Washington University of St. Louis,washington-university-of-st-louis,No,36,16,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 17 Washington (Mo.) W 36-16,opponent_resolved_site_pending,
MIZ-HIST-00050,missouri,historical_media_guide,1909-1910,1910,1910-01-10,William Jewell,William Jewell,william-jewell,No,42,19,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 10 William Jewell W 42-19,opponent_resolved_site_pending,
MIZ-HIST-00051,missouri,historical_media_guide,1909-1910,1910,1910-01-11,William Jewell,William Jewell,william-jewell,No,37,35,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 11 William Jewell W 37-35,opponent_resolved_site_pending,
MIZ-HIST-00052,missouri,historical_media_guide,1909-1910,1910,1910-01-13,Washington (Mo.),Washington University of St. Louis,washington-university-of-st-louis,No,25,10,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 13 Washington (Mo.) W 25-10,opponent_resolved_site_pending,
MIZ-HIST-00053,missouri,historical_media_guide,1909-1910,1910,1910-01-14,Washington (Mo.),Washington University of St. Louis,washington-university-of-st-louis,No,30,9,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 14 Washington (Mo.) W 30-9,opponent_resolved_site_pending,
MIZ-HIST-00054,missouri,historical_media_guide,1909-1910,1910,1910-01-21,Grinnell,Grinnell,grinnell,No,30,34,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 21 Grinnell L 30-34,opponent_resolved_site_pending,
MIZ-HIST-00055,missouri,historical_media_guide,1909-1910,1910,1910-01-22,Grinnell,Grinnell,grinnell,No,8,32,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 22 Grinnell L 8-32,opponent_resolved_site_pending,
MIZ-HIST-00056,missouri,historical_media_guide,1909-1910,1910,1910-02-05,Emporia State,Emporia State,emporia-state,No,32,8,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 5 Emporia State W 32-8,opponent_resolved_site_pending,
MIZ-HIST-00057,missouri,historical_media_guide,1909-1910,1910,1910-02-09,Central Missouri,Central Missouri,central-missouri,No,28,27,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 9 @ Central Missouri W 28-27,opponent_resolved_site_pending,
MIZ-HIST-00058,missouri,historical_media_guide,1909-1910,1910,1910-02-10,Central Missouri,Central Missouri,central-missouri,No,20,19,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 10 @ Central Missouri W 20-19,opponent_resolved_site_pending,
MIZ-HIST-00059,missouri,historical_media_guide,1909-1910,1910,1910-02-11,Kansas,Kansas,kansas,Yes,15,29,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 11 @ Kansas L 15-29,opponent_resolved_site_pending,
MIZ-HIST-00060,missouri,historical_media_guide,1909-1910,1910,1910-02-12,Kansas,Kansas,kansas,Yes,14,27,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 12 @ Kansas L 14-27,opponent_resolved_site_pending,
