source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
virginia,Longwood,longwood,Longwood,Yes,6,2005-2006,2011-2012,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Longwood
virginia,Louisville,louisville,Louisville,Yes,11,1923-1924,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Louisville
virginia,Louisville (13),louisville,Louisville,Yes,1,1988-1989,1988-1989,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Louisville
virginia,Louisville (15),louisville,Louisville,Yes,1,1983-1984,1983-1984,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Louisville
virginia,Louisville (18),louisville,Louisville,Yes,1,1989-1990,1989-1990,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Louisville
virginia,Loyola,loyola-maryland,Loyola Maryland,Yes,1,2005-2006,2005-2006,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS; SOURCE_LABEL_NORMALIZATION,,Virginia media guide all-time series table category=D1 canonical=Loyola (Md.)
virginia,Loyola (Ill.),loyola-chicago,Loyola Chicago,Yes,1,1985-1986,1985-1986,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS; SOURCE_LABEL_NORMALIZATION,,Virginia media guide all-time series table category=D1 canonical=Loyola (Ill.)
virginia,Loyola (Md.),loyola-maryland,Loyola Maryland,Yes,6,1913-1914,1999-2000,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS; SOURCE_LABEL_NORMALIZATION,,Virginia media guide all-time series table category=D1 canonical=Loyola (Md.)
virginia,Loyola Marymount,loyola-marymount,Loyola Marymount,Yes,1,2003-2004,2003-2004,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Loyola Marymount
virginia,Lynchburg,lynchburg,Lynchburg,No,7,1921-1922,1930-1931,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_D1_COLLEGE canonical=Lynchburg
virginia,Lynchburg A.C.,lynchburg-athletic-club,Lynchburg Athletic Club,No,1,1919-1920,1919-1920,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED; SOURCE_LABEL_NORMALIZATION,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Lynchburg Athletic Club
virginia,Lynchburg Ath. Club,lynchburg-athletic-club,Lynchburg Athletic Club,No,1,1918-1919,1918-1919,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED; SOURCE_LABEL_NORMALIZATION,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Lynchburg Athletic Club
virginia,Lynchburg Elks,lynchburg-elks,Lynchburg Elks,No,1,1921-1922,1921-1922,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Lynchburg Elks
virginia,Lynchburg Independents,lynchburg-independents,Lynchburg Independents,No,1,1948-1949,1948-1949,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Lynchburg Independents
virginia,Manhattan,manhattan,Manhattan,Yes,2,1992-1993,2024-2025,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Manhattan
virginia,Marine Institute,marine-institute,Marine Institute,No,1,1945-1946,1945-1946,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Marine Institute
virginia,Marquette,marquette,Marquette,Yes,2,1988-1989,1989-1990,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Marquette
virginia,Marquette (14),marquette,Marquette,Yes,1,1974-1975,1974-1975,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Marquette
virginia,Marshall,marshall,Marshall,Yes,8,1928-1929,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Marshall
virginia,Maryland,maryland,Maryland,Yes,126,1912-1913,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Maryland
